	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Nyankole	Proper noun	tr	lect	deu	Runyankore	n
eng	Nyankole	Proper noun	tr	lect	fra	runyankole	m
eng	Nyaunglebin	Proper noun	tr	Town in Bago Region, Burma	mya	ညောင်လေးပင်
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	cmn	新挪威语	tr=Xīn-Nuówēiyǔ	sc=Hani
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	dan	nynorsk	n
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	deu	Neunorwegisch	n
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	deu	Nynorsk	n
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	fao	nýnorskt	n
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	fin	uusnorja
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	fra	néo-norvégien	m
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	fra	nynorsk	m
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	gle	Nua-Ioruais	f
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	glg	nynorsk
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	hye	նյունորսկ	sc=Armn
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	hye	նոր նորվեգերեն	sc=Armn
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	isl	nýnorska	f
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	jpn	ニーノシュク	tr=Nīnoshuku
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	kat	ახალი ნორვეგიული
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	kat	ახალნორვეგიული
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	kat	ნიუნორსკი
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	kor	^뉘노르스크
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	lav	jaunnorvēģu
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	lav	jaunnorvēģu valoda	f
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	nld	Nynorsk
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	nno	nynorsk
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	nob	nynorsk
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	pol	nynorsk	m
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	por	nynorsk	m
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	rus	новонорве́жский	m
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	rus	ню́норск	m
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	rus	ню́ношк	m
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	sme	ođđadárogiella
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	swe	nynorska	c
eng	Nynorsk	Noun	tr	one of the two major Norwegian (written) languages	vol	Nula-Norgänapük
eng	Nyon	Proper noun	tr	city in the canton of Vaud, Switzerland	fra	Nyon	m
eng	Nyx	Proper noun	tr	the primordial goddess of night	ces	Nyx
eng	Nyx	Proper noun	tr	the primordial goddess of night	cmn	纽克斯
eng	Nyx	Proper noun	tr	the primordial goddess of night	dan	Nyx
eng	Nyx	Proper noun	tr	the primordial goddess of night	deu	Nyx
eng	Nyx	Proper noun	tr	the primordial goddess of night	ell	Νυξ	f
eng	Nyx	Proper noun	tr	the primordial goddess of night	fin	Nyks
eng	Nyx	Proper noun	tr	the primordial goddess of night	fra	Nyx
eng	Nyx	Proper noun	tr	the primordial goddess of night	haw	Nika
eng	Nyx	Proper noun	tr	the primordial goddess of night	hbs	Nikta	f
eng	Nyx	Proper noun	tr	the primordial goddess of night	hbs	Никта	f
eng	Nyx	Proper noun	tr	the primordial goddess of night	hun	Nüx
eng	Nyx	Proper noun	tr	the primordial goddess of night	ita	Notte
eng	Nyx	Proper noun	tr	the primordial goddess of night	ita	Nyx
eng	Nyx	Proper noun	tr	the primordial goddess of night	jpn	ニュクス	tr=Nyukusu
eng	Nyx	Proper noun	tr	the primordial goddess of night	lit	Niktė
eng	Nyx	Proper noun	tr	the primordial goddess of night	nld	Nox
eng	Nyx	Proper noun	tr	the primordial goddess of night	nld	Nyx
eng	Nyx	Proper noun	tr	the primordial goddess of night	pol	Nyks	f
eng	Nyx	Proper noun	tr	the primordial goddess of night	por	Nix
eng	Nyx	Proper noun	tr	the primordial goddess of night	rus	Ни́кта	f
eng	Nyx	Proper noun	tr	the primordial goddess of night	spa	Nicta	f
eng	Nyx	Proper noun	tr	the primordial goddess of night	spa	Nicte	f
eng	Nyx	Proper noun	tr	the primordial goddess of night	spa	Nix
eng	Nyx	Proper noun	tr	the primordial goddess of night	spa	Nyx
eng	Nyx	Proper noun	tr	the primordial goddess of night	swe	Nyx
eng	Nyx	Proper noun	tr	the primordial goddess of night	ukr	Нікс	f
