	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	vulcanite	Noun	tr	rubber	ell	βουλκανίτης	m
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	bul	вулканиза́ция	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	cat	vulcanització	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	ces	vulkanizace	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	cmn	硫化	tr=liúhuà	sc=Hani
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	deu	Vulkanisation	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	ell	βουλκανισμός	m
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	epo	vulkanizado
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	est	vulkaniseerimine
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	fin	vulkanointi
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	fra	vulcanisation	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	glg	vulcanización	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	glv	vulcaanaghey	m
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	hbs	vulkanizácija	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	hbs	вулканиза́ција	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	ita	vulcanizzazione	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	jpn	加硫	tr=かりゅう, karyū	sc=Jpan
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	mkd	вулканизација	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	pol	wulkanizacja	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	por	vulcanização	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	rus	вулканиза́ция	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	spa	vulcanización	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	swe	vulkanisering
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	ukr	вулканіза́ція	f
eng	vulcanization	Noun	tr	process by which rubber is hardened using heat and sulphur	war	bulkanisasyon
eng	vulcanize	Verb	tr	to harden rubber with heat	bul	вулканизирам
eng	vulcanize	Verb	tr	to harden rubber with heat	cat	vulcanitzar
eng	vulcanize	Verb	tr	to harden rubber with heat	cmn	硫化	tr=liúhuà
eng	vulcanize	Verb	tr	to harden rubber with heat	deu	vulkanisieren
eng	vulcanize	Verb	tr	to harden rubber with heat	fin	vulkanoida
eng	vulcanize	Verb	tr	to harden rubber with heat	fra	vulcaniser
eng	vulcanize	Verb	tr	to harden rubber with heat	glg	vulcanizar
eng	vulcanize	Verb	tr	to harden rubber with heat	glv	vulcaanee
eng	vulcanize	Verb	tr	to harden rubber with heat	ido	vulkanizar
eng	vulcanize	Verb	tr	to harden rubber with heat	ita	vulcanizzare
eng	vulcanize	Verb	tr	to harden rubber with heat	jpn	加硫	tr=かりゅうする, karyū suru	alt=加硫する
eng	vulcanize	Verb	tr	to harden rubber with heat	kat	ვულკანიზირება
eng	vulcanize	Verb	tr	to harden rubber with heat	mkd	вулканизи́ра
eng	vulcanize	Verb	tr	to harden rubber with heat	nld	vulkaniseren
eng	vulcanize	Verb	tr	to harden rubber with heat	por	vulcanizar
eng	vulcanize	Verb	tr	to harden rubber with heat	ron	vulcaniza	f
eng	vulcanize	Verb	tr	to harden rubber with heat	rus	вулканизи́ровать	impf	pf
eng	vulcanize	Verb	tr	to harden rubber with heat	rus	вулканизова́ть	impf	pf
eng	vulcanize	Verb	tr	to harden rubber with heat	spa	vulcanizar
eng	vulcanologist	Noun	tr		fra	volcanologue	m	f
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	afr	onbeskaaf
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	afr	ongepoets
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	afr	platvloers
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	afr	vulgêr
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	bel	вульга́рны
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	bel	непрысто́йны
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	bul	вулга́рен
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	bul	неприли́чен
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	bul	непристо́ен
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	cat	vulgar
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	ces	hrubý
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	ces	sprostý
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	ces	vulgární
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	cmn	粗俗	tr=cūsú	sc=Hani
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	cmn	鄙俗	tr=bǐsú	sc=Hani
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	dan	grov
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	dan	obskøn
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	dan	uanstændig
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	dan	vulgær
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	deu	unanständig
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	deu	unfein
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	deu	ungebildet
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	deu	ungehobelt
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	deu	vulgär
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	deu	vulgärsprachlich
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	ell	αγοραίος
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	ell	πρόστυχος
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	ell	χυδαίος
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	epo	triviala
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	fas	رکیک	tr=rakik
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	fas	مبتذل	tr=mobtazal
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	fin	alatyylinen
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	fin	rivo
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	fin	sivistymätön
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	fin	vulgaari
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	fra	obscène
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	fra	vulgaire
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	got	𐌲𐌰𐌼𐌰𐌹𐌽𐍃
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	grc	βάναυσος
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	grc	φορτικός
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	heb	הֲמוֹנִי	m	tr=hamoní
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	heb	ווּלְגָרִי	m	tr=vulgári
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	hin	अश्लील
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	hin	वल्गर
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	hun	durva
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	hun	közönséges
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	hun	otromba
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	hun	trágár
eng	vulgar	Adjective	tr	distasteful, uncouth, obscene	hun	vulgáris
